date,value
1934-01-01,5535.25
1934-02-01,5344.20
1934-03-01,5359.56
1934-04-01,5229.90
1934-05-01,4816.96
1934-06-01,4933.08
1934-07-01,4377.19
1934-08-01,4628.09
1934-09-01,4625.08
1934-10-01,4487.00
1934-11-01,4882.45
1934-12-01,4873.35
1935-01-01,4689.24
1935-02-01,4517.25
1935-03-01,4390.20
1935-04-01,4831.88
1935-05-01,5005.59
1935-06-01,5359.68
1935-07-01,5825.84
1935-08-01,5970.92
1935-09-01,6129.76
1935-10-01,6616.87
1935-11-01,6891.64
1935-12-01,7173.97
1936-01-01,7666.84
1936-02-01,7817.30
1936-03-01,8035.76
1936-04-01,7436.53
1936-05-01,7801.51
1936-06-01,8065.26
1936-07-01,8647.46
1936-08-01,8743.85
1936-09-01,8785.44
1936-10-01,9481.89
1936-11-01,9549.66
1936-12-01,9527.10
1937-01-01,9924.99
1937-02-01,10107.03
1937-03-01,10043.52
1937-04-01,9249.92
1937-05-01,9190.07
1937-06-01,8745.56
1937-07-01,9675.81
1937-08-01,9181.22
1937-09-01,7913.58
1937-10-01,7148.29
1937-11-01,6458.85
1937-12-01,6168.06
1938-01-01,6294.54
1938-02-01,6718.36
1938-03-01,5071.71
1938-04-01,5822.24
1938-05-01,5602.17
1938-06-01,7024.76
1938-07-01,7563.17
1938-08-01,7389.21
1938-09-01,7538.73
1938-10-01,8131.05
1938-11-01,7892.79
1938-12-01,8215.80
1939-01-01,7678.87
1939-02-01,7957.39
1939-03-01,6904.14
1939-04-01,6892.28
1939-05-01,7349.44
1939-06-01,6906.59
1939-07-01,7689.44
1939-08-01,7172.33
1939-09-01,8381.49
1939-10-01,8293.09
1939-11-01,7919.57
1939-12-01,8141.08
1940-01-01,7888.07
1940-02-01,7971.88
1940-03-01,8089.13
1940-04-01,8083.29
1940-05-01,6181.88
1940-06-01,6696.79
1940-07-01,6936.92
1940-08-01,7152.82
1940-09-01,7267.50
1940-10-01,7588.71
1940-11-01,7307.86
1940-12-01,7320.25
1941-01-01,7010.94
1941-02-01,6945.15
1941-03-01,7011.28
1941-04-01,6599.74
1941-05-01,6658.29
1941-06-01,7058.23
1941-07-01,7488.12
1941-08-01,7466.70
1941-09-01,7435.91
1941-10-01,6974.15
1941-11-01,6721.98
1941-12-01,6458.86
1942-01-01,6590.62
1942-02-01,6423.86
1942-03-01,6075.53
1942-04-01,5851.80
1942-05-01,6268.15
1942-06-01,6425.81
1942-07-01,6667.08
1942-08-01,6754.04
1942-09-01,6974.76
1942-10-01,7462.71
1942-11-01,7398.67
1942-12-01,7820.11
1943-01-01,8419.79
1943-02-01,8885.52
1943-03-01,9393.71
1943-04-01,9441.70
1943-05-01,9905.35
1943-06-01,10141.90
1943-07-01,9632.77
1943-08-01,9772.94
1943-09-01,10046.27
1943-10-01,9955.51
1943-11-01,9246.32
1943-12-01,9834.38
1944-01-01,10029.59
1944-02-01,10047.97
1944-03-01,10261.92
1944-04-01,10178.70
1944-05-01,10635.32
1944-06-01,11223.03
1944-07-01,11035.73
1944-08-01,11177.53
1944-09-01,11189.17
1944-10-01,11235.89
1944-11-01,11326.75
1944-12-01,11771.12
1945-01-01,11987.59
1945-02-01,12774.50
1945-03-01,12233.34
1945-04-01,13358.17
1945-05-01,13559.95
1945-06-01,13563.65
1945-07-01,13341.50
1945-08-01,14165.16
1945-09-01,14808.98
1945-10-01,15308.37
1945-11-01,15855.43
1945-12-01,16062.94
1946-01-01,17234.94
1946-02-01,16090.34
1946-03-01,16888.01
1946-04-01,17576.04
1946-05-01,18022.69
1946-06-01,17371.20
1946-07-01,16982.09
1946-08-01,15797.90
1946-09-01,14251.10
1946-10-01,14199.52
1946-11-01,14087.43
1946-12-01,14748.93
1947-01-01,15146.62
1947-02-01,14987.12
1947-03-01,14799.05
1947-04-01,14283.61
1947-05-01,14214.01
1947-06-01,15027.99
1947-07-01,15640.44
1947-08-01,15256.03
1947-09-01,15108.22
1947-10-01,15505.86
1947-11-01,15133.13
1947-12-01,15521.78
1948-01-01,14980.44
1948-02-01,14346.62
1948-03-01,15515.92
1948-04-01,16003.58
1948-05-01,17326.87
1948-06-01,17465.80
1948-07-01,16595.87
1948-08-01,16803.82
1948-09-01,16376.56
1948-10-01,17563.48
1948-11-01,15746.38
1948-12-01,16313.24
1949-01-01,16427.98
1949-02-01,15863.87
1949-03-01,16430.76
1949-04-01,16180.03
1949-05-01,15665.33
1949-06-01,15717.46
1949-07-01,16806.50
1949-08-01,17100.15
1949-09-01,17593.53
1949-10-01,18221.12
1949-11-01,18349.38
1949-12-01,19260.20
1950-01-01,19705.47
1950-02-01,20014.56
1950-03-01,20209.29
1950-04-01,21237.86
1950-05-01,22189.86
1950-06-01,21020.05
1950-07-01,21330.07
1950-08-01,22156.04
1950-09-01,23527.72
1950-10-01,23772.74
1950-11-01,23897.41
1950-12-01,25149.80
1951-01-01,26846.23
1951-02-01,27176.69
1951-03-01,26835.88
1951-04-01,28290.42
1951-05-01,27306.64
1951-06-01,26760.96
1951-07-01,28761.32
1951-08-01,30191.47
1951-09-01,30191.47
1951-10-01,29928.71
1951-11-01,30003.67
1951-12-01,31324.80
1952-01-01,31977.55
1952-02-01,30966.15
1952-03-01,32598.52
1952-04-01,31362.58
1952-05-01,32236.28
1952-06-01,33889.98
1952-07-01,34659.69
1952-08-01,34326.57
1952-09-01,33819.25
1952-10-01,33945.31
1952-11-01,35695.51
1952-12-01,37120.23
1953-01-01,37020.27
1953-02-01,36513.08
1953-03-01,35809.32
1953-04-01,35024.11
1953-05-01,35093.04
1953-06-01,34686.10
1953-07-01,35742.55
1953-08-01,33840.81
1953-09-01,34048.72
1953-10-01,35970.23
1953-11-01,36460.96
1953-12-01,36712.38
1954-01-01,38775.70
1954-02-01,39070.80
1954-03-01,40420.24
1954-04-01,42586.30
1954-05-01,44172.67
1954-06-01,44393.23
1954-07-01,47105.64
1954-08-01,45697.31
1954-09-01,49684.42
1954-10-01,48914.81
1954-11-01,53059.63
1954-12-01,55951.04
1955-01-01,57151.37
1955-02-01,57570.95
1955-03-01,57498.77
1955-04-01,59854.16
1955-05-01,59981.54
1955-06-01,65125.23
1955-07-01,69310.75
1955-08-01,68984.32
1955-09-01,69984.22
1955-10-01,68064.23
1955-11-01,73385.17
1955-12-01,73535.76
1956-01-01,71101.26
1956-02-01,73787.11
1956-03-01,79146.13
1956-04-01,79226.44
1956-05-01,74254.75
1956-06-01,77418.25
1956-07-01,81656.45
1956-08-01,78786.66
1956-09-01,75469.34
1956-10-01,76107.16
1956-11-01,75508.44
1956-12-01,78408.96
1957-01-01,75371.77
1957-02-01,73149.36
1957-03-01,74830.29
1957-04-01,77839.93
1957-05-01,80961.47
1957-06-01,81105.00
1957-07-01,82280.44
1957-08-01,77912.39
1957-09-01,73340.86
1957-10-01,71247.45
1957-11-01,72651.49
1957-12-01,69898.84
1958-01-01,73145.30
1958-02-01,71895.28
1958-03-01,74372.80
1958-04-01,76994.53
1958-05-01,78401.89
1958-06-01,80702.93
1958-07-01,84438.96
1958-08-01,85698.74
1958-09-01,90103.64
1958-10-01,92652.07
1958-11-01,94990.72
1958-12-01,100196.11
1959-01-01,100844.59
1959-02-01,101094.42
1959-03-01,101418.04
1959-04-01,105624.14
1959-05-01,107896.82
1959-06-01,107784.83
1959-07-01,111823.35
1959-08-01,110420.68
1959-09-01,105660.61
1959-10-01,107132.63
1959-11-01,108832.18
1959-12-01,112123.89
1960-01-01,104413.82
1960-02-01,105675.22
1960-03-01,104511.26
1960-04-01,102986.57
1960-05-01,106059.64
1960-06-01,108439.37
1960-07-01,106062.48
1960-08-01,109143.16
1960-09-01,102862.72
1960-10-01,102924.13
1960-11-01,107382.03
1960-12-01,112665.49
1961-01-01,120094.43
1961-02-01,123635.78
1961-03-01,127107.81
1961-04-01,127912.03
1961-05-01,130676.33
1961-06-01,127243.77
1961-07-01,131718.58
1961-08-01,134625.56
1961-09-01,132298.71
1961-10-01,136379.13
1961-11-01,142079.54
1961-12-01,142872.70
1962-01-01,137800.38
1962-02-01,140383.11
1962-03-01,139901.15
1962-04-01,131577.08
1962-05-01,120608.50
1962-06-01,111085.12
1962-07-01,118497.36
1962-08-01,120661.40
1962-09-01,115198.78
1962-10-01,116074.11
1962-11-01,128226.66
1962-12-01,130322.71
1963-01-01,137095.55
1963-02-01,133510.65
1963-03-01,138617.62
1963-04-01,145724.92
1963-05-01,148195.75
1963-06-01,145586.11
1963-07-01,145469.31
1963-08-01,152948.52
1963-09-01,151649.04
1963-10-01,156936.58
1963-11-01,155685.05
1963-12-01,159894.58
1964-01-01,164613.17
1964-02-01,166651.28
1964-03-01,169594.80
1964-04-01,171052.07
1964-05-01,173437.77
1964-06-01,176713.82
1964-07-01,180376.37
1964-08-01,177889.55
1964-09-01,183440.44
1964-10-01,185376.86
1964-11-01,184870.57
1964-12-01,186049.48
1965-01-01,192684.33
1965-02-01,192866.42
1965-03-01,190533.69
1965-04-01,197538.45
1965-05-01,196490.72
1965-06-01,187417.99
1965-07-01,190429.44
1965-08-01,195213.20
1965-09-01,201958.22
1965-10-01,207989.19
1965-11-01,206676.57
1965-12-01,209037.42
1966-01-01,210578.51
1966-02-01,207340.60
1966-03-01,203344.71
1966-04-01,208052.87
1966-05-01,197328.39
1966-06-01,194684.20
1966-07-01,192618.91
1966-08-01,178197.70
1966-09-01,177505.53
1966-10-01,186499.67
1966-11-01,187637.59
1966-12-01,187915.10
1967-01-01,203171.44
1967-02-01,204136.83
1967-03-01,212751.22
1967-04-01,222306.85
1967-05-01,211221.07
1967-06-01,215493.16
1967-07-01,225842.71
1967-08-01,231695.47
1967-09-01,231695.47
1967-10-01,225546.37
