year,month,spx_tr_real,y10_bm_real,cpi,spx_tr_cum,y10_bm_cum,cape_shiller
1888,4,0.0197000000,0.0123000000,8.183,289.79,230.99,15.0201
1888,5,0.0296000000,0.0276000000,8.087,294.90,234.60,15.3879
1888,6,-0.0158000000,0.0226000000,7.992,286.83,237.07,15.0776
1888,7,0.0175000000,-0.0116000000,8.087,295.34,237.10,15.2796
1888,8,0.0250000000,0.0066000000,8.087,302.73,238.66,15.6029
1888,9,0.0282000000,0.0104000000,8.087,311.27,241.13,15.9878
1888,10,-0.0139000000,-0.0181000000,8.183,310.55,239.54,15.7159
1888,11,-0.0287000000,-0.0099000000,8.278,305.14,239.93,15.2237
1888,12,-0.0159000000,0.0061000000,8.278,300.29,241.39,14.9467
1889,1,0.0592000000,0.0313000000,7.992,307.10,240.36,15.8023
1889,2,0.0269000000,0.0247000000,7.897,311.60,243.36,16.1927
1889,3,-0.0056000000,0.0247000000,7.802,306.13,246.36,16.0650
1889,4,0.0013000000,-0.0042000000,7.802,306.54,245.31,16.0501
1889,5,0.0560000000,0.0306000000,7.612,315.82,246.66,16.9154
1889,6,0.0202000000,0.0041000000,7.612,322.19,247.67,17.2193
1889,7,-0.0170000000,-0.0061000000,7.612,316.71,246.15,16.8892
1889,8,0.0166000000,0.0006000000,7.612,321.97,246.31,17.1319
1889,9,0.0149000000,-0.0098000000,7.707,330.84,246.95,17.3508
1889,10,-0.0149000000,-0.0047000000,7.707,325.90,245.78,17.0532
1889,11,-0.0060000000,0.0016000000,7.707,323.96,246.18,16.9060
1889,12,-0.0144000000,-0.0086000000,7.802,323.23,247.08,16.6103
1890,1,0.0397000000,0.0156000000,7.612,327.86,244.80,17.2201
1890,2,-0.0081000000,-0.0152000000,7.612,325.20,241.08,17.0268
1890,3,-0.0044000000,-0.0039000000,7.612,323.77,240.14,16.9011
1890,4,0.0240000000,-0.0013000000,7.612,331.54,239.81,17.2579
1890,5,0.0328000000,-0.0092000000,7.707,346.71,240.59,17.7864
1890,6,-0.0041000000,0.0048000000,7.707,345.27,241.74,17.6844
1890,7,-0.0040000000,0.0058000000,7.707,343.89,243.13,17.5893
1890,8,-0.0553000000,-0.0242000000,7.992,336.90,246.03,16.5968
1890,9,-0.0250000000,0.0018000000,8.087,332.39,249.41,16.1697
1890,10,-0.0421000000,-0.0118000000,8.087,318.41,246.48,15.4828
1890,11,-0.0472000000,0.0273000000,7.897,296.25,247.26,14.7450
1890,12,-0.0198000000,-0.0049000000,7.897,290.38,246.05,14.4430
1891,1,0.0687000000,0.0010000000,7.802,306.60,243.33,15.4290
1891,2,0.0036000000,-0.0083000000,7.897,311.48,244.25,15.4765
1891,3,-0.0266000000,-0.0051000000,7.992,306.85,245.93,15.0516
1891,4,0.0246000000,-0.0050000000,8.087,318.15,247.62,15.4089
1891,5,0.0114000000,0.0147000000,7.992,317.99,248.30,15.5665
1891,6,0.0074000000,0.0272000000,7.802,312.71,248.98,15.6582
1891,7,-0.0006000000,-0.0258000000,7.707,308.72,239.59,15.6179
1891,8,0.0373000000,0.0002000000,7.707,320.23,239.62,16.1640
1891,9,0.0983000000,0.0241000000,7.612,347.35,242.36,17.7113
1891,10,0.0033000000,-0.0078000000,7.612,348.49,240.47,17.7166
1891,11,0.0008000000,0.0166000000,7.517,344.42,241.42,17.6717
1891,12,0.0339000000,0.0109000000,7.517,356.10,244.05,18.2063
1892,1,0.0484000000,0.0224000000,7.326,363.87,243.19,19.0164
1892,2,0.0051000000,0.0034000000,7.326,365.72,244.01,19.0364
1892,3,0.0412000000,0.0340000000,7.136,370.91,245.75,19.7381
1892,4,0.0150000000,0.0046000000,7.041,371.47,243.58,19.9433
1892,5,0.0033000000,0.0114000000,7.041,372.71,246.37,19.9115
1892,6,-0.0021000000,0.0093000000,7.041,371.94,248.66,19.7693
1892,7,-0.0231000000,-0.0334000000,7.231,373.17,246.85,19.2119
1892,8,0.0045000000,-0.0139000000,7.326,379.79,246.62,19.2043
1892,9,-0.0217000000,-0.0073000000,7.326,371.56,244.81,18.6943
1892,10,0.0234000000,0.0013000000,7.326,380.27,245.12,19.0402
1892,11,-0.0255000000,-0.0220000000,7.517,380.19,245.97,18.4633
1892,12,-0.0198000000,-0.0139000000,7.612,377.37,245.61,18.0130
1893,1,-0.0153000000,-0.0402000000,7.897,385.55,244.58,17.6566
1893,2,-0.0261000000,-0.0144000000,7.992,380.02,243.95,17.1252
1893,3,-0.0091000000,0.0331000000,7.802,367.61,246.02,16.8996
1893,4,0.0161000000,0.0125000000,7.707,368.98,246.07,17.1025
1893,5,-0.0734000000,0.0110000000,7.612,337.67,245.71,15.7810
1893,6,-0.0190000000,0.0122000000,7.421,322.98,242.48,15.4165
1893,7,-0.0651000000,0.0178000000,7.231,294.21,240.48,14.3499
1893,8,0.0209000000,0.0502000000,6.946,288.51,242.58,14.5881
1893,9,0.0333000000,-0.0235000000,7.231,310.37,246.61,15.0121
1893,10,0.0204000000,-0.0145000000,7.326,320.88,246.24,15.2718
1893,11,0.0467000000,0.0470000000,7.136,327.16,251.13,15.9424
1893,12,-0.0180000000,0.0288000000,7.041,316.99,254.93,15.6127
1894,1,0.0109000000,0.0184000000,6.850,311.78,252.61,15.7399
1894,2,0.0321000000,0.0261000000,6.755,317.31,255.59,16.2027
1894,3,0.0634000000,0.0353000000,6.565,327.94,257.17,17.1876
